CLASS_NAME,METHOD_NAME,KILLED_MUTANTS,COVERED_MUTANTS,MUTATION_SCORE_OF_COVERED_MUTANTS ...
triangle.Triangle,triangle.Triangle.classify(III)Ltriangle/TriangleType;,84,121,0.6942148760330579 ...
triangle.Triangle,triangle.Triangle.isValid(III)Ljava/lang/Boolean;,61,80,0.7625 ...
